Date,Average Value
12/31/2017,170722.6721
1/31/2018,171326.1119
2/28/2018,171845.6461
3/31/2018,172607.498
4/30/2018,173455.2044
5/31/2018,174433.7315
6/30/2018,175314.9279
7/31/2018,176267.8894
8/31/2018,177116.2322
9/30/2018,177995.6314
10/31/2018,178884.9971
11/30/2018,179901.1002
12/31/2018,180953.8778
1/31/2019,182011.2018
2/28/2019,183044.2131
3/31/2019,184027.519
4/30/2019,184743.3075
5/31/2019,185282.8195
6/30/2019,185660.0667
7/31/2019,186009.0666
8/31/2019,186422.6443
9/30/2019,186948.728
10/31/2019,187678.498
11/30/2019,188601.7923
12/31/2019,189569.29
1/31/2020,190512.3024
2/29/2020,191338.2313
3/31/2020,192123.0783
4/30/2020,192691.976
5/31/2020,192824.5862
6/30/2020,192905.8884
7/31/2020,193313.3433
8/31/2020,194347.2689
9/30/2020,195894.7542
10/31/2020,197859.7087
11/30/2020,200350.6097
12/31/2020,202848.032
1/31/2021,205429.8968
2/28/2021,207977.2885
3/31/2021,210873.9753
4/30/2021,213913.7242
5/31/2021,217249.5676
6/30/2021,220743.9721
7/31/2021,223670.0347
8/31/2021,225620.8432
9/30/2021,226851.6189
10/31/2021,228444.3536
11/30/2021,230831.1896
12/31/2021,233714.2977
1/31/2022,237822.6292
2/28/2022,242727.6176
3/31/2022,248156.7301
4/30/2022,252883.4799
5/31/2022,256830.2451
6/30/2022,260176.0474
7/31/2022,262511.3177
8/31/2022,263580.3025
9/30/2022,263738.1787
10/31/2022,263626.131
11/30/2022,263517.6138
12/31/2022,262703.5285
1/31/2023,261190.2868
